TEAM,GAME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,ELO
1,1,39,81,0.481,7,21,0.333,18,27,0.667,10,36,46,20,10,6,15,24,1509
1,2,34,77,0.442,12,26,0.462,18,21,0.857,8,34,42,21,7,3,17,28,1516
1,3,49,76,0.645,7,19,0.368,14,22,0.636,7,31,38,32,20,2,20,21,1527
1,4,41,68,0.603,6,10,0.6,18,25,0.72,8,31,39,30,8,6,18,20,1536
1,5,36,79,0.456,10,19,0.526,30,35,0.857,12,37,49,27,9,3,11,24,1549
1,6,31,73,0.425,6,21,0.286,33,44,0.75,7,35,42,17,12,8,13,24,1565
1,7,33,71,0.465,3,12,0.25,22,31,0.71,10,32,42,21,15,7,14,28,1572
1,8,35,71,0.493,5,14,0.357,17,18,0.944,5,35,40,29,5,2,18,22,1574
1,9,40,75,0.533,4,16,0.25,18,26,0.692,9,32,41,17,6,2,19,33,1569
1,10,38,79,0.481,7,21,0.333,22,28,0.786,12,40,52,26,9,7,17,18,1576
1,11,39,77,0.506,8,17,0.471,21,28,0.75,6,36,42,31,7,2,12,13,1583
1,12,34,78,0.436,6,18,0.333,22,28,0.786,9,25,34,22,4,4,13,18,1587
1,13,37,86,0.43,10,25,0.4,20,29,0.69,10,30,40,26,8,7,12,22,1582
1,14,37,79,0.468,12,22,0.545,18,25,0.72,11,40,51,27,7,6,6,24,1586
1,15,29,73,0.397,10,22,0.455,27,34,0.794,12,28,40,17,15,0,17,17,1590
1,16,27,72,0.375,2,14,0.143,24,32,0.75,11,40,51,15,11,4,15,19,1593
1,17,40,76,0.526,10,22,0.455,23,26,0.885,9,23,32,22,10,3,11,18,1597
1,18,39,74,0.527,9,21,0.429,25,30,0.833,8,36,44,29,9,5,20,21,1605
1,19,33,64,0.516,7,23,0.304,19,22,0.864,7,38,45,22,5,9,17,20,1612
1,20,27,69,0.391,6,22,0.273,30,32,0.938,11,22,33,16,10,3,8,18,1614
1,21,35,75,0.467,8,20,0.4,26,30,0.867,11,30,41,19,12,3,13,14,1617
1,22,37,75,0.493,7,18,0.389,9,16,0.563,4,31,35,18,8,5,9,19,1633
1,23,34,69,0.493,4,14,0.286,13,21,0.619,10,27,37,18,9,3,15,18,1625
1,24,31,70,0.443,12,26,0.462,33,42,0.786,8,38,46,25,12,4,22,26,1628
1,25,38,73,0.521,8,19,0.421,19,24,0.792,6,32,38,24,7,5,14,24,1633
1,26,31,76,0.408,11,22,0.5,16,22,0.727,16,29,45,19,11,4,17,20,1642
1,27,34,86,0.395,9,19,0.474,27,36,0.75,14,28,42,21,4,3,4,15,1645
1,28,37,80,0.463,10,21,0.476,20,26,0.769,14,27,41,22,10,1,11,19,1651
1,29,37,80,0.463,7,22,0.318,29,39,0.744,10,39,49,17,11,4,16,30,1669
1,30,41,77,0.532,4,16,0.25,11,19,0.579,7,27,34,27,8,5,12,20,1670
1,31,36,78,0.462,6,16,0.375,22,25,0.88,7,36,43,22,9,1,14,21,1670
1,32,31,74,0.419,4,16,0.25,26,33,0.788,15,35,50,14,4,4,13,27,1686
1,33,30,72,0.417,4,20,0.2,19,24,0.792,10,30,40,19,7,6,17,24,1650
1,34,34,71,0.479,5,17,0.294,13,21,0.619,5,39,44,18,8,7,15,18,1658
1,35,26,63,0.413,9,25,0.36,17,23,0.739,7,23,30,21,13,9,19,23,1647
1,36,31,74,0.419,5,20,0.25,16,22,0.727,11,26,37,17,4,7,14,22,1632
1,37,34,78,0.436,7,26,0.269,25,38,0.658,13,28,41,20,5,4,8,24,1636
1,38,43,73,0.589,14,22,0.636,16,21,0.762,10,20,30,31,6,6,16,29,1639
1,39,41,75,0.547,4,11,0.364,23,29,0.793,11,31,42,18,10,1,15,22,1646
1,40,44,89,0.494,7,21,0.333,17,22,0.773,16,23,39,30,11,5,12,19,1631
1,41,29,69,0.42,4,16,0.25,25,30,0.833,12,35,47,17,7,7,23,17,1631
1,42,35,84,0.417,7,18,0.389,16,18,0.889,13,25,38,14,11,2,11,23,1626
1,43,40,78,0.513,10,21,0.476,27,35,0.771,10,41,51,22,12,5,14,27,1630
1,44,33,77,0.429,5,11,0.455,25,29,0.862,12,25,37,13,6,3,8,25,1634
1,45,42,74,0.568,9,18,0.5,20,22,0.909,7,22,29,21,8,2,19,29,1630
1,46,42,79,0.532,8,16,0.5,19,25,0.76,10,30,40,24,10,5,19,29,1631
1,47,34,74,0.459,6,16,0.375,14,17,0.824,5,31,36,21,6,8,15,15,1631
1,48,33,71,0.465,9,23,0.391,23,34,0.676,10,36,46,24,9,0,14,19,1637
1,49,35,83,0.422,10,28,0.357,24,29,0.828,8,34,42,20,10,6,8,23,1641
1,50,38,75,0.507,7,21,0.333,28,36,0.778,10,29,39,29,6,6,15,25,1641
1,51,44,99,0.444,11,33,0.333,19,28,0.679,14,33,47,19,8,6,13,33,1634
1,52,37,77,0.481,11,23,0.478,32,46,0.696,8,29,37,24,8,3,15,28,1630
1,53,30,78,0.385,4,17,0.235,13,16,0.813,8,24,32,14,13,5,20,27,1625
1,54,44,76,0.579,14,21,0.667,10,15,0.667,10,27,37,25,6,1,17,26,1634
1,55,38,69,0.551,8,18,0.444,20,25,0.8,3,34,37,22,10,8,13,22,1645
1,56,34,65,0.523,4,12,0.333,20,29,0.69,5,32,37,27,10,2,19,25,1647
1,57,41,86,0.477,9,19,0.474,17,21,0.81,12,32,44,33,9,5,16,20,1648
1,58,37,83,0.446,7,21,0.333,17,21,0.81,12,36,48,26,9,7,13,22,1649
1,59,35,76,0.461,3,8,0.375,17,24,0.708,10,40,50,23,2,5,11,20,1657
1,60,36,79,0.456,6,18,0.333,38,43,0.884,12,43,55,23,9,9,20,26,1659
1,61,47,81,0.58,15,30,0.5,10,15,0.667,11,34,45,31,5,6,14,28,1665
1,62,37,78,0.474,9,23,0.391,17,21,0.81,13,37,50,24,4,6,14,30,1674
1,63,45,89,0.506,5,11,0.455,16,24,0.667,10,36,46,31,7,7,10,17,1675
1,64,32,66,0.485,3,15,0.2,25,34,0.735,11,18,29,20,6,7,14,25,1653
1,65,41,79,0.519,4,14,0.286,13,19,0.684,12,30,42,28,7,1,10,21,1662
1,66,34,73,0.466,3,11,0.273,22,25,0.88,10,30,40,13,9,6,14,24,1669
1,67,38,88,0.432,3,12,0.25,15,17,0.882,15,30,45,18,10,4,11,19,1693
1,68,30,87,0.345,4,16,0.25,30,35,0.857,12,37,49,16,10,9,8,21,1699
1,69,41,74,0.554,7,21,0.333,17,22,0.773,11,33,44,21,4,2,20,26,1693
1,70,34,75,0.453,7,20,0.35,15,20,0.75,6,28,34,28,8,5,15,28,1672
1,71,45,86,0.523,5,13,0.385,22,28,0.786,17,24,41,27,10,4,14,21,1683
1,72,44,74,0.595,4,16,0.25,20,22,0.909,2,38,40,26,2,3,6,24,1693
1,73,32,83,0.386,7,27,0.259,17,22,0.773,22,32,54,23,13,4,14,25,1693
1,74,35,71,0.493,14,25,0.56,22,28,0.786,11,34,45,24,7,8,19,26,1698
1,75,35,79,0.443,6,24,0.25,16,21,0.762,12,39,51,27,9,3,18,24,1699
1,76,34,78,0.436,6,17,0.353,27,34,0.794,15,39,54,14,13,5,13,18,1706
1,77,36,73,0.493,7,22,0.318,28,39,0.718,8,34,42,21,11,3,23,28,1708
1,78,34,76,0.447,13,30,0.433,14,21,0.667,14,32,46,24,6,4,20,21,1689
1,79,44,87,0.506,10,20,0.5,4,5,0.8,11,35,46,33,6,4,13,24,1690
1,80,34,72,0.472,5,12,0.417,26,29,0.897,8,31,39,21,7,6,12,23,1697
1,81,37,77,0.481,7,16,0.438,18,26,0.692,9,34,43,13,7,5,14,20,1698
1,82,37,82,0.451,8,15,0.533,23,30,0.767,12,32,44,22,10,6,13,24,1699
2,1,43,86,0.5,4,11,0.364,15,23,0.652,15,27,42,29,10,3,13,27,1507
2,2,43,88,0.489,4,11,0.364,17,25,0.68,12,33,45,30,12,7,17,31,1517
2,3,44,80,0.55,7,14,0.5,22,29,0.759,8,24,32,28,13,3,14,26,1521
2,4,41,79,0.519,9,15,0.6,15,19,0.789,12,31,43,32,5,5,18,21,1495
2,5,40,81,0.494,6,21,0.286,24,30,0.8,11,23,34,24,6,4,9,25,1497
2,6,35,89,0.393,8,21,0.381,10,19,0.526,19,25,44,24,8,2,19,32,1500
2,7,43,77,0.558,8,12,0.667,19,25,0.76,13,22,35,30,10,3,14,20,1509
2,8,45,87,0.517,4,10,0.4,15,17,0.882,13,24,37,31,11,5,18,23,1516
2,9,42,93,0.452,3,12,0.25,21,26,0.808,12,38,50,16,6,14,13,25,1501
2,10,41,92,0.446,1,8,0.125,20,28,0.714,17,34,51,23,8,1,12,34,1484
2,11,31,76,0.408,6,13,0.462,22,33,0.667,13,39,52,18,5,5,13,25,1480
2,12,32,74,0.432,3,18,0.167,25,43,0.581,15,29,44,25,11,3,12,32,1489
2,13,45,82,0.549,3,10,0.3,14,18,0.778,4,22,26,28,12,1,11,24,1485
2,14,40,87,0.46,3,13,0.231,11,16,0.688,16,30,46,27,13,3,15,22,1481
2,15,39,83,0.47,2,12,0.167,24,29,0.828,14,32,46,19,14,3,18,23,1477
2,16,37,84,0.44,5,12,0.417,22,27,0.815,16,32,48,28,8,2,9,22,1486
2,17,42,80,0.525,7,14,0.5,15,19,0.789,12,34,46,23,7,3,11,25,1506
2,18,47,81,0.58,6,10,0.6,18,26,0.692,15,25,40,22,7,2,7,26,1500
2,19,44,86,0.512,8,21,0.381,16,22,0.727,18,31,49,22,6,5,15,19,1513
2,20,50,84,0.595,9,17,0.529,18,24,0.75,13,26,39,29,6,7,14,21,1505
2,21,39,90,0.433,6,14,0.429,24,32,0.75,22,35,57,24,11,7,14,18,1514
2,22,48,84,0.571,4,12,0.333,23,33,0.697,10,31,41,28,10,6,16,29,1508
2,23,42,82,0.512,2,6,0.333,28,31,0.903,15,31,46,26,9,3,17,16,1512
2,24,43,88,0.489,11,19,0.579,16,17,0.941,14,28,42,25,7,6,11,15,1513
2,25,42,81,0.519,7,14,0.5,9,14,0.643,13,28,41,22,13,6,11,22,1527
2,26,38,87,0.437,6,13,0.462,15,24,0.625,17,30,47,19,6,4,14,25,1536
2,27,42,87,0.483,9,17,0.529,27,35,0.771,16,30,46,24,9,6,13,23,1552
2,28,36,85,0.424,6,17,0.353,17,22,0.773,20,30,50,17,9,3,20,17,1554
2,29,43,95,0.453,4,17,0.235,10,12,0.833,18,32,50,30,11,2,13,23,1566
2,30,49,91,0.538,4,10,0.4,15,17,0.882,14,26,40,29,6,3,11,19,1554
2,31,45,85,0.529,4,12,0.333,19,25,0.76,20,31,51,27,9,3,19,26,1560
2,32,44,74,0.595,9,15,0.6,16,23,0.696,11,37,48,27,7,5,23,19,1580
2,33,45,96,0.469,9,16,0.563,21,22,0.955,19,30,49,28,11,6,10,17,1566
2,34,41,88,0.466,7,18,0.389,27,30,0.9,16,30,46,26,10,2,14,24,1560
2,35,50,94,0.532,7,21,0.333,9,17,0.529,23,29,52,33,9,2,13,17,1560
2,36,34,78,0.436,10,21,0.476,14,26,0.538,17,21,38,17,4,4,13,11,1555
2,37,40,76,0.526,14,22,0.636,17,21,0.81,14,23,37,24,4,4,14,20,1546
2,38,38,88,0.432,8,23,0.348,15,19,0.789,21,27,48,23,14,2,15,17,1536
2,39,42,86,0.488,7,15,0.467,13,19,0.684,16,30,46,31,7,3,15,25,1538
2,40,36,83,0.434,7,17,0.412,23,37,0.622,19,30,49,26,9,3,21,30,1546
2,41,35,83,0.422,6,19,0.316,17,25,0.68,21,29,50,26,9,8,20,23,1548
